STDTCODE,PROPER ID,,
3306,IN.TN.TV,,
3307,IN.TN.VL,,
3308,IN.TN.SA,,
3309,IN.TN.NM,,
3310,IN.TN.ER,,
3311,IN.TN.TH,,
3312,IN.TN.CO,,
3313,IN.TN.DI,,
3314,IN.TN.KR,,
3315,IN.TN.TC,,
3316,IN.TN.PE,,
3318,IN.TN.CU,,
3319,IN.TN.NG,,
3320,IN.TN.TR,,
3321,IN.TN.TJ,,
3322,IN.TN.PU,,
3323,IN.TN.SI,,
3324,IN.TN.MA,,
3325,IN.TN.TH,,
3326,IN.TN.VR,,
3327,IN.TN.RA,,
3328,IN.TN.TK,,
3329,IN.TN.TI,,
3330,IN.TN.KK,,
3401,IN.PY.YA,,
3402,IN.PY.PO,,
3403,IN.PY.MA,,
3404,IN.PY.KA,,
3501,,,
3502,,,
